Paper,FormattedName,Year,Journal,Location,Measurements,OldVsNew,FireIntensity,State,ForestType,FuelType,YearsSinceTreatment,Lat,Long
Collins+Moghaddas+etal-2007,Collins et al 2007,2007,Forest Ecology & Management,"Blodgett Forest Research Station, California","Percent Cover, Species Richness",Old,Medium,California,Mixed Conifer,litter,2,38.8862914,-120.6477055
Dodson+Metlen+etal-2007,Dodson et al 2007,2007,Restoration Ecology,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Low,Montana,Ponderosa Pine/Douglas Fir,grass,3.5,46.8915987,-113.434247
Dodson-2004,Dodson 2004,2004,Dissertation at University of Montana,"Lubrecht Experimental Forest, Montana",Percent Cover,New,Low,Montana,Ponderosa Pine,grass,2.5,46.8915987,-113.434247
Fornwalt+Kaufmann+etal-2010-Riparian-Low,Fornwalt et al 2010 (RL),2010,Biological Invasions,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Low,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fornwalt+Kaufmann+etal-2010-Upland-High,Fornwalt et al 2010 (UH),2010,Biological Invasions,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,High,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fornwalt+Kaufmann+etal-2010-Upland-Low,Fornwalt et al 2010 (UL),2010,Biological Invasions,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Low,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fornwalt+Kaufmann+etal-2010-Upland-Medium,Fornwalt et al 2010 (UM),2010,Biological Invasions,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Medium,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fornwalt+Kaufmann+etal-2014-Riparian-Low,Fornwalt et al 2014 (R) ,2014,Journal of Vegetation Science,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Low,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fornwalt+Kaufmann+etal-2014-Upland,Fornwalt et al 2014 (U),2014,Journal of Vegetation Science,"Pike National Forest, Colorado","Percent Cover, Species Richness",New,Medium,Colorado,Ponderosa Pine/Douglas Fir,grass,2,39.1833,-105.3167
Fule+Laughlin+etal-2005,Fulé et al 2005,2005,Forest Ecology and Management,"Kaibab National Forest, Arizona","Percent Cover, Species Richness",New,Low,Arizona,Pine-Oak Forest,grass,4,35.243203,-112.189904
Huffman+Stoddard+etal-2013,Huffman et al 2013,2013,Forest Ecology and Management,"Kaibab NF, Arizona","Percent Cover, Species Richness",New,Low,Arizona,Pinyon Juniper Woodlands,grass,5,35.243203,-112.189904
Kane+Morgan+etal-2010,Kane et al 2010,2010,Applied Vegetation Science,"Challenge Experimental Forest, California","Percent Cover, Species Richness",Old,Medium,California,Ponderosa Pine,grass,4,39.29,-121.13
Kerns+Thies+etal-2006,Kerns et al 2006,2006,Ecoscience,"Malheur NF, Oregon","Percent Cover, Species Richness",New,Low,Oregon,Ponderosa Pine,grass,5,44.104437,-118.655754
Laughlin+Bakker+etal-2008,Laughlin et al 2008,2008,Plant Ecology,"Coconino National Forest, Arizona",Species Richness,Old,NA,Arizona,Ponderosa Pine,grass,3,34.924903,-111.735873
Mason+Baker+etal-2009-Bailey,Mason et al 2009 (BA),2009,Forest Ecology & Management,"Lincoln National Forest, New Mexico",Percent Cover,Old,NA,New Mexico,Mixed Conifer,litter,1,32.886383,-105.688351
Mason+Baker+etal-2009-Cox,Mason et al 2009 (CO),2009,Forest Ecology & Management,"Lincoln National Forest, New Mexico",Percent Cover,Old,NA,New Mexico,Mixed Conifer,litter,2,32.886383,-105.688351
Mason+Baker+etal-2009-Sleepy,Mason et al 2009 (SL),2009,Forest Ecology & Management,"Lincoln National Forest, New Mexico",Percent Cover,Old,NA,New Mexico,Mixed Conifer,litter,2,32.886383,-105.688351
Metlen+Fiedler-2006,Metlen and Fiedler 2006,2006,Forest Ecology & Management,"Lubrecht Experimental Forest, Montana","Percent Cover, Species Richness",Old,Low,Montana,Ponderosa Pine/Douglas Fir,grass,2,46.8915987,-113.434247
Nelson+Halpern+etal-2008,Nelson et al 2008,2008,Ecological Applications,"Colville, Okanogan, Wenatchee National Forests, Washington",Percent Cover,Old,Low,Washington,Ponderosa Pine,grass,8,48.675074,-119.854537
O'Connor+Miller+etal-2013,O'Connor et al 2013,2013,Environmental Management,"High Desert Ecological Province, Oregon",Percent Cover,New,NA,Oregon,Pinyon Juniper Woodlands,grass,2,43.753611,-118.918076
Phillips+Hutchinson-2007-OhioHills,Phillips and Hutchinson 2007 (OH),2007,USDA Forest Service Proceedings,Central Appalachian Plateau in Ohio and Southern Appalachian Mountains in North Carolina,"Percent Cover, Species Richness",New,Medium,Ohio,Mixed Oak Forests,litter,2,38.941182,-82.254639
Phillips+Hutchinson-2007-SouthernAppalachian,Phillips and Hutchinson 2007 (SA),2007,USDA Forest Service Proceedings,Central Appalachian Plateau in Ohio and Southern Appalachian Mountains in North Carolina,"Percent Cover, Species Richness",New,Medium,Ohio,Mixed Oak Forests,litter,2,39.177301,-82.979541
Phillips+Waldrop-2008,Phillips and Waldrop 2007,2008,Forest Ecology & Management,"Clemson Experimental Forest, South Carolina",Percent Cover,Old,Medium,South Carolina,Pinus taeda/Pinus echinata forests,litter,2,35.027597,-82.419434
Provencher+Thompson-2014,Provencher and Thompson 2014,2014,Rangeland Ecology and Management,"Smith Valley, Utah",Percent Cover,New,NA,Nevada,Pinyon Juniper Woodlands,grass,4,39.26,-114.575
Scudieri+Sieg+etal-2010-Chimney,Scudieri and Sieg 2010 (CH),2010,Forest Ecology & Management,"Fort Valley EF and Long Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,Low,Arizona,Ponderosa Pine,grass,2,34.924903,-111.735873
Scudieri+Sieg+etal-2010-Limestone,Scudieri and Sieg 2010 (LI),2010,Forest Ecology & Management,"Fort Valley EF and Long Valley EF in Coconino NF, Arizona","Percent Cover, Species Richness",New,Low,Arizona,Ponderosa Pine,grass,2,34.924903,-111.735873
Waldrop+Phillips+etal-2010,Waldrop et al 2010,2010,Forest science,"Southern Appalachian Mountain, North Carolina",Percent Cover,New,Medium,North Carolina,Mixed Oak Forests,litter,3,35.295356,-83.979541
Waldrop+Yaussy+etal-2008-GreenRiver,Waldrop et al 2008 (GR),2008,Forest Ecology & Management,"Green River Site, North Carolina and Ohio Hills, Ohio",Percent Cover,Old,Medium,North Carolina,Mixed Oak Forests,litter,2,35.283333,-82.283333
Waldrop+Yaussy+etal-2008-OhioHills,Waldrop et al 2008 (OH),2008,Forest Ecology & Management,"Green River Site, North Carolina and Ohio Hills, Ohio",Percent Cover,Old,Medium,Ohio,Mixed Oak Forests,litter,2,39.2,-82.383333
Weekley+Menges+etal-2013,Weekley et al 2013,2013,Southern Appalachian Botanical Society,"Lake Wales Ridge State Forest, Florida",Percent Cover,New,Medium,Florida,Longleaf Pine,grass,2,27.679722,-81.436111
Wienk+Sieg+etal-2004,Wienk et al 2004,2004,Forest Ecology & Management,"Badger Game Production Area, South Dakota",Species Richness,Old,Low,South Dakota,Ponderosa Pine,grass,2,44.44485,-103.90276
Wolk+Rocca-2009,Wolk and Rocca 2009,2009,Forest Ecology & Management,"Heil Valley Ranch, Colorado","Percent Cover, Species Richness",Old,NA,Colorado,Ponderosa Pine,grass,3,40.1494144,-105.3002
Youngblood+Metlen+etal-2006,Youngblood et al 2006,2006,Forest Ecology & Management,"Blue Mountains, Oregon",Percent Cover,Old,Low,Oregon,Ponderosa Pine/Douglas Fir,grass,5,45.727378,-117.273496
Zald+Gray+etal-2008,Zald et al 2008,2008,Forest Ecology & Management,"Teakettle Experimental Forest, California",Percent Cover,Old,Medium,California,Mixed Conifer,litter,1.5,36.966667,-119.016667
