Paper,control.mean,control.s,control.n,thin.mean,thin.s,thin.n,burn.mean,burn.s,burn.n,d.thin.control,d.burn.control,d.thin.burn
Collins+Moghaddas+etal-2007,5.4,0.989949494,3,9.2,1.979898987,3,5.5,0.989949494,3,0.7877,0.0328,0.7669
Huffman+Stoddard+etal-2013,0.6,0.331662479,12,0.4,0.331662479,12,0.4,0.331662479,12,0.603,0.603,0
Kerns+Thies+etal-2006,2.694560669,2.488678167,6,,,,2.753138075,3.012610414,6,,0.0212,
Mason+Baker+etal-2009-Bailey,0.2,0.565685425,3,0.8,0.565685425,3,,,,0.7071,,
Mason+Baker+etal-2009-Cox,4.5,2.49844396,3,5.633333333,2.545584412,3,,,,0.448,,
Mason+Baker+etal-2009-Sleepy,1.4,0.848528137,3,2,0.848528137,3,,,,0.7071,,
Metlen+Fiedler-2006,10.6,2.639865316,3,11.3,0.565685425,3,8.6,1.461354014,3,0.3667,-0.09374,2.4367
Provencher+Thompson-2014,9,12.30365799,3,11,6.222539674,3,,,,,,
Scudieri+Sieg+etal-2010-Chimney,12,0.707106781,3,,,,5.5,0.707106781,3,,9.1924,
Scudieri+Sieg+etal-2010-Limestone,2,0.707106781,3,,,,1.5,0.424264069,3,,4.4721,
Waldrop+Yaussy+etal-2008-GreenRiver,3.64,2.321637353,3,2.135,1.97339175,3,2.73,1.857309883,12,-0.6985,-0.4329,-0.3105
Waldrop+Yaussy+etal-2008-OhioHills,9.25,7.462405778,3,5.75,1.3125,3,10.75,7.462405778,12,-1.1876,0.2759,-0.8475
Zald+Gray+etal-2008,4.5,2.2627417,3,4.2,1.909188309,3,6.55,2.687005769,3,-0.2027,1.1671,-0.4299
Zenner+Kabrick+etal-2006,-0.15625,15.99178866,94,-0.15625,1.25,36,,,,0,,
